Date,DEX,Values,Blockchain
2023-05-20,Hashflow,176,Ethereum
2023-05-20,KyberSwap,14,Ethereum
2023-05-20,PancakeSwap,362,Ethereum
2023-05-20,Shibaswap,548,Ethereum
2023-05-20,Sushiswap,2352,Ethereum
2023-05-20,Uniswap,193437,Ethereum
2023-05-20,Beethoven X,1722,Optimism
2023-05-20,Curve,805,Optimism
2023-05-20,Fraxswap,12,Optimism
2023-05-20,KyberSwap,108,Optimism
2023-05-20,Sushiswap,1773,Optimism
2023-05-20,Synthetix,82,Optimism
2023-05-20,Uniswap,18862,Optimism
2023-05-20,Velodrome,7864,Optimism
2023-05-20,WOOFi,1696,Optimism
2023-05-20,Balancer,2581,Polygon
2023-05-20,Curve,230,Polygon
2023-05-20,DODO,1976,Polygon
2023-05-20,Fraxswap,364,Polygon
2023-05-20,KyberSwap,1637,Polygon
2023-05-20,QuickSwap,38557,Polygon
2023-05-20,Sushiswap,9355,Polygon
2023-05-20,Uniswap,40512,Polygon
2023-05-20,WOOFi,7094,Polygon
2023-05-19,Curve,369,Avalanche
2023-05-19,Fraxswap,41,Avalanche
2023-05-19,GMX,319,Avalanche
2023-05-19,Hashflow,188,Avalanche
2023-05-19,KyberSwap,500,Avalanche
2023-05-19,Pangolin,4564,Avalanche
2023-05-19,Platypus,786,Avalanche
2023-05-19,Sushiswap,1242,Avalanche
2023-05-19,Trader Joe,32789,Avalanche
2023-05-19,WOOFi,11175,Avalanche
2023-05-19,Balancer,369,Ethereum
2023-05-19,Curve,930,Ethereum
2023-05-19,DODO,42,Ethereum
2023-05-19,Fraxswap,46,Ethereum
2023-05-19,Hashflow,152,Ethereum
2023-05-19,KyberSwap,17,Ethereum
2023-05-19,PancakeSwap,347,Ethereum
2023-05-19,Shibaswap,446,Ethereum
2023-05-19,Sushiswap,2439,Ethereum
2023-05-19,Synthetix,1,Ethereum
2023-05-19,Uniswap,232123,Ethereum
2023-05-19,Beethoven X,1615,Optimism
2023-05-19,Curve,737,Optimism
2023-05-19,Fraxswap,13,Optimism
2023-05-19,KyberSwap,115,Optimism
2023-05-19,Sushiswap,1394,Optimism
2023-05-19,Synthetix,94,Optimism
2023-05-19,Uniswap,26209,Optimism
2023-05-19,Velodrome,9941,Optimism
2023-05-19,WOOFi,1523,Optimism
2023-05-19,Balancer,2431,Polygon
2023-05-19,Curve,283,Polygon
2023-05-19,DODO,1943,Polygon
2023-05-19,Fraxswap,407,Polygon
2023-05-19,KyberSwap,1869,Polygon
2023-05-19,QuickSwap,39041,Polygon
2023-05-19,Sushiswap,9559,Polygon
2023-05-19,Uniswap,48331,Polygon
2023-05-19,WOOFi,7347,Polygon
2023-05-18,Curve,533,Avalanche
2023-05-18,Fraxswap,78,Avalanche
2023-05-18,GMX,543,Avalanche
2023-05-18,Hashflow,218,Avalanche
2023-05-18,KyberSwap,750,Avalanche
2023-05-18,Pangolin,4796,Avalanche
2023-05-18,Platypus,1055,Avalanche
2023-05-18,Sushiswap,1127,Avalanche
2023-05-18,Trader Joe,33085,Avalanche
2023-05-18,WOOFi,11247,Avalanche
2023-05-18,Balancer,505,Ethereum
2023-05-18,Curve,1027,Ethereum
2023-05-18,DODO,58,Ethereum
2023-05-18,Fraxswap,90,Ethereum
2023-05-18,Hashflow,157,Ethereum
2023-05-18,KyberSwap,19,Ethereum
2023-05-18,PancakeSwap,433,Ethereum
2023-05-18,Shibaswap,487,Ethereum
2023-05-18,Sushiswap,3102,Ethereum
2023-05-18,Synthetix,7,Ethereum
2023-05-18,Uniswap,231568,Ethereum
2023-05-18,Beethoven X,1546,Optimism
2023-05-18,Curve,948,Optimism
2023-05-18,Fraxswap,33,Optimism
2023-05-18,KyberSwap,198,Optimism
2023-05-18,Sushiswap,1538,Optimism
2023-05-18,Synthetix,265,Optimism
2023-05-18,Uniswap,33987,Optimism
2023-05-18,Velodrome,14612,Optimism
2023-05-18,WOOFi,2662,Optimism
2023-05-18,Balancer,3483,Polygon
2023-05-18,Curve,901,Polygon
2023-05-18,DODO,3169,Polygon
2023-05-18,Fraxswap,578,Polygon
2023-05-18,KyberSwap,2809,Polygon
2023-05-18,QuickSwap,48745,Polygon
2023-05-18,Sushiswap,12440,Polygon
2023-05-18,Uniswap,63050,Polygon
2023-05-18,WOOFi,8667,Polygon
2023-05-17,Curve,510,Avalanche
2023-05-17,Fraxswap,92,Avalanche
2023-05-17,GMX,511,Avalanche
2023-05-17,Hashflow,187,Avalanche
2023-05-17,KyberSwap,743,Avalanche
2023-05-17,Pangolin,4925,Avalanche
2023-05-17,Platypus,1107,Avalanche
2023-05-17,Sushiswap,1225,Avalanche
2023-05-17,Trader Joe,34967,Avalanche
2023-05-17,WOOFi,9703,Avalanche
2023-05-17,Balancer,582,Ethereum
2023-05-17,Curve,1048,Ethereum
2023-05-17,DODO,97,Ethereum
2023-05-17,Fraxswap,103,Ethereum
2023-05-17,Hashflow,261,Ethereum
2023-05-17,KyberSwap,32,Ethereum
2023-05-17,PancakeSwap,508,Ethereum
2023-05-17,Shibaswap,553,Ethereum
2023-05-17,Sushiswap,4343,Ethereum
2023-05-17,Synthetix,3,Ethereum
2023-05-17,Uniswap,220409,Ethereum
2023-05-17,Beethoven X,2150,Optimism
2023-05-17,Curve,1050,Optimism
2023-05-17,Fraxswap,43,Optimism
2023-05-17,KyberSwap,298,Optimism
2023-05-17,Sushiswap,1993,Optimism
