Date,Exchange,Values,Blockchain
2023-09-20,Sushiswap,2156,Arbitrum
2023-09-20,Trader Joe,1812,Arbitrum
2023-09-20,Uniswap,11585,Arbitrum
2023-09-20,WOOFi,1674,Arbitrum
2023-09-20,Zyberswap,485,Arbitrum
2023-09-20,Balancer,90,Avalanche
2023-09-20,Curve,154,Avalanche
2023-09-20,Fraxswap,21,Avalanche
2023-09-20,GMX,150,Avalanche
2023-09-20,Hashflow,17,Avalanche
2023-09-20,KyberSwap,224,Avalanche
2023-09-20,Pangolin,1165,Avalanche
2023-09-20,Platypus,260,Avalanche
2023-09-20,Sushiswap,525,Avalanche
2023-09-20,Trader Joe,5779,Avalanche
2023-09-20,Uniswap,869,Avalanche
2023-09-20,WOOFi,1148,Avalanche
2023-09-20,Balancer,246,Ethereum
2023-09-20,Curve,570,Ethereum
2023-09-20,DODO,137,Ethereum
2023-09-20,Fraxswap,35,Ethereum
2023-09-20,Hashflow,111,Ethereum
2023-09-20,KyberSwap,26,Ethereum
2023-09-20,PancakeSwap,516,Ethereum
2023-09-20,ShibaSwap,339,Ethereum
2023-09-20,Sushiswap,1850,Ethereum
2023-09-20,Synthetix,1,Ethereum
2023-09-20,Trader Joe,2,Ethereum
2023-09-20,Uniswap,51115,Ethereum
2023-09-20,Beethoven X,430,Optimism
2023-09-20,Curve,396,Optimism
2023-09-20,Fraxswap,11,Optimism
2023-09-20,KyberSwap,18,Optimism
2023-09-20,Sushiswap,271,Optimism
2023-09-20,Synthetix,1,Optimism
2023-09-20,Uniswap,9899,Optimism
2023-09-20,Velodrome,3731,Optimism
2023-09-20,WOOFi,770,Optimism
2023-09-20,Balancer,1082,Polygon
2023-09-20,Curve,296,Polygon
2023-09-20,DODO,1009,Polygon
2023-09-20,Fraxswap,54,Polygon
2023-09-20,KyberSwap,401,Polygon
2023-09-20,QuickSwap,10128,Polygon
2023-09-20,Sushiswap,5259,Polygon
2023-09-20,Uniswap,12864,Polygon
2023-09-20,WOOFi,1446,Polygon
2023-09-19,Balancer,1088,Arbitrum
2023-09-19,Camelot,1986,Arbitrum
2023-09-19,Curve,19,Arbitrum
2023-09-19,DODO,409,Arbitrum
2023-09-19,Fraxswap,35,Arbitrum
2023-09-19,GMX,131,Arbitrum
2023-09-19,KyberSwap,859,Arbitrum
2023-09-19,Sushiswap,2660,Arbitrum
2023-09-19,Trader Joe,2067,Arbitrum
2023-09-19,Uniswap,10881,Arbitrum
2023-09-19,WOOFi,2438,Arbitrum
2023-09-19,Zyberswap,457,Arbitrum
2023-09-19,Balancer,82,Avalanche
2023-09-19,Curve,160,Avalanche
2023-09-19,Fraxswap,25,Avalanche
2023-09-19,GMX,138,Avalanche
2023-09-19,Hashflow,28,Avalanche
2023-09-19,KyberSwap,195,Avalanche
2023-09-19,Pangolin,1462,Avalanche
2023-09-19,Platypus,284,Avalanche
2023-09-19,Sushiswap,491,Avalanche
2023-09-19,Trader Joe,6148,Avalanche
2023-09-19,Uniswap,913,Avalanche
2023-09-19,WOOFi,1316,Avalanche
2023-09-19,Balancer,311,Ethereum
2023-09-19,Curve,668,Ethereum
2023-09-19,DODO,188,Ethereum
2023-09-19,Fraxswap,34,Ethereum
2023-09-19,Hashflow,82,Ethereum
2023-09-19,KyberSwap,30,Ethereum
2023-09-19,PancakeSwap,537,Ethereum
2023-09-19,ShibaSwap,362,Ethereum
2023-09-19,Sushiswap,1889,Ethereum
2023-09-19,Trader Joe,1,Ethereum
2023-09-19,Uniswap,52615,Ethereum
2023-09-19,Beethoven X,476,Optimism
2023-09-19,Curve,418,Optimism
2023-09-19,Fraxswap,20,Optimism
2023-09-19,KyberSwap,19,Optimism
2023-09-19,Sushiswap,321,Optimism
2023-09-19,Synthetix,3,Optimism
2023-09-19,Uniswap,10294,Optimism
2023-09-19,Velodrome,4501,Optimism
2023-09-19,WOOFi,1037,Optimism
2023-09-19,Balancer,1204,Polygon
2023-09-19,Curve,301,Polygon
2023-09-19,DODO,927,Polygon
2023-09-19,Fraxswap,66,Polygon
2023-09-19,KyberSwap,316,Polygon
2023-09-19,QuickSwap,9797,Polygon
2023-09-19,Sushiswap,3956,Polygon
2023-09-19,Uniswap,12315,Polygon
2023-09-19,WOOFi,1754,Polygon
2023-09-18,Balancer,947,Arbitrum
2023-09-18,Camelot,1980,Arbitrum
2023-09-18,Curve,20,Arbitrum
2023-09-18,DODO,405,Arbitrum
2023-09-18,Fraxswap,46,Arbitrum
2023-09-18,GMX,157,Arbitrum
2023-09-18,KyberSwap,866,Arbitrum
2023-09-18,Sushiswap,2461,Arbitrum
2023-09-18,Trader Joe,1635,Arbitrum
2023-09-18,Uniswap,10562,Arbitrum
2023-09-18,WOOFi,1439,Arbitrum
2023-09-18,Zyberswap,427,Arbitrum
2023-09-18,Balancer,83,Avalanche
2023-09-18,Curve,155,Avalanche
2023-09-18,Fraxswap,27,Avalanche
2023-09-18,GMX,170,Avalanche
2023-09-18,Hashflow,29,Avalanche
2023-09-18,KyberSwap,204,Avalanche
2023-09-18,Pangolin,1201,Avalanche
2023-09-18,Platypus,281,Avalanche
2023-09-18,Sushiswap,512,Avalanche
2023-09-18,Trader Joe,5539,Avalanche
2023-09-18,Uniswap,854,Avalanche
2023-09-18,WOOFi,1309,Avalanche
2023-09-18,Balancer,265,Ethereum
2023-09-18,Curve,495,Ethereum
2023-09-18,DODO,152,Ethereum
