Date,Exchange,Values,Blockchain
2023-06-05,Binance,-17353143.03,Arbitrum
2023-06-05,Bybit,5317858.304,Arbitrum
2023-06-05,Gate.io,4578111.724,Arbitrum
2023-06-05,Coinbase,18200.67,Avalanche
2023-06-05,Bitfinex,9773306.587,Avalanche
2023-06-05,Binance,11497046.32,Avalanche
2023-06-05,Binance,24093170.5447046,BSC
2023-06-05,KuCoin,1015482.47827027,BSC
2023-06-05,Gate.io,4481185.45859233,BSC
2023-06-05,Gemini,7085227.214,Ethereum
2023-06-05,OKX,19601672.47,Ethereum
2023-06-05,Kraken,97147864.71,Ethereum
2023-06-05,KuCoin,19088708.13,Ethereum
2023-06-05,Bitfinex,-49534611.78,Ethereum
2023-06-05,Gate.io,-9511507.186,Ethereum
2023-06-05,Binance,-639077217.6,Ethereum
2023-06-05,Coinbase,-433205600.2,Ethereum
2023-06-05,Bitstamp,1250702.123,Ethereum
2023-06-05,Bybit,8937103.173,Ethereum
2023-06-05,Bitfinex,298139.3525,Polygon
2023-06-05,Binance,-30637883.5,Polygon
2023-06-04,Bybit,-371474.5102,Arbitrum
2023-06-04,Gate.io,867961.5536,Arbitrum
2023-06-04,Binance,3514803.245,Arbitrum
2023-06-04,KuCoin,-376702.7619,Arbitrum
2023-06-04,Binance,-25788235.33,Avalanche
2023-06-04,Coinbase,2710.9,Avalanche
2023-06-04,Bitfinex,205649.046,Avalanche
2023-06-04,Binance,15079289.9459229,BSC
2023-06-04,Gate.io,-4094090.96062323,BSC
2023-06-04,KuCoin,831109.525558032,BSC
2023-06-04,Bitfinex,5098781.152,Ethereum
2023-06-04,Gate.io,-29506903.91,Ethereum
2023-06-04,Gemini,-1482280.746,Ethereum
2023-06-04,Kraken,-19204172.99,Ethereum
2023-06-04,KuCoin,-216279.625,Ethereum
2023-06-04,Coinbase,-28378542.19,Ethereum
2023-06-04,OKX,-20968209.31,Ethereum
2023-06-04,Bybit,5673345.278,Ethereum
2023-06-04,Binance,9480818.266,Ethereum
2023-06-04,Bitstamp,1780014.519,Ethereum
2023-06-04,Binance,4461212.099,Polygon
2023-06-04,Bitfinex,401591.9666,Polygon
2023-06-03,Gate.io,6841926.969,Arbitrum
2023-06-03,Binance,15174112.29,Arbitrum
2023-06-03,KuCoin,469581.4066,Arbitrum
2023-06-03,Bybit,2077908.832,Arbitrum
2023-06-03,Binance,4240845.469,Avalanche
2023-06-03,Coinbase,2484.45,Avalanche
2023-06-03,Bitfinex,1866791.182,Avalanche
2023-06-03,Gate.io,-1603180.41945323,BSC
2023-06-03,KuCoin,118806.757760168,BSC
2023-06-03,Binance,100885247.760485,BSC
2023-06-03,Kraken,-20933913.69,Ethereum
2023-06-03,Bitfinex,-3440821.381,Ethereum
2023-06-03,Binance,-106537480.8,Ethereum
2023-06-03,Bitstamp,-2299007.903,Ethereum
2023-06-03,Coinbase,-19076287.33,Ethereum
2023-06-03,Gate.io,-13277059.98,Ethereum
2023-06-03,Bybit,13943216.21,Ethereum
2023-06-03,Gemini,969608.8785,Ethereum
2023-06-03,KuCoin,1092764.838,Ethereum
2023-06-03,OKX,25037550.12,Ethereum
2023-06-03,Binance,-141026.0625,Polygon
2023-06-03,Bitfinex,153884.426,Polygon
2023-06-02,Binance,27583643.22,Arbitrum
2023-06-02,Bybit,2119604.346,Arbitrum
2023-06-02,KuCoin,-215823.4112,Arbitrum
2023-06-02,Gate.io,-17104168.03,Arbitrum
2023-06-02,Coinbase,-4682.54,Avalanche
2023-06-02,Bitfinex,-14525740.94,Avalanche
2023-06-02,Binance,15630649.34,Avalanche
2023-06-02,KuCoin,-1523678.47021099,BSC
2023-06-02,Gate.io,-2767486.84840245,BSC
2023-06-02,Binance,24687241.97837,BSC
2023-06-02,KuCoin,7447146.225,Ethereum
2023-06-02,Coinbase,-30258704.93,Ethereum
2023-06-02,Bybit,-10316634.29,Ethereum
2023-06-02,Gemini,-23429664.25,Ethereum
2023-06-02,Bitstamp,1538264.09,Ethereum
2023-06-02,Binance,3829769.145,Ethereum
2023-06-02,Kraken,-62971233.37,Ethereum
2023-06-02,Gate.io,-25303541.49,Ethereum
2023-06-02,Bitfinex,6592220.759,Ethereum
2023-06-02,OKX,-1965531.76,Ethereum
2023-06-02,Bitfinex,-9825106.045,Polygon
2023-06-02,Binance,-21204780.29,Polygon
2023-06-01,KuCoin,434986.7913,Arbitrum
2023-06-01,Bybit,3695816.83,Arbitrum
2023-06-01,Gate.io,-18857901.13,Arbitrum
2023-06-01,Binance,3662981.013,Arbitrum
2023-06-01,Bitfinex,341623.4282,Avalanche
2023-06-01,Binance,-25759306.5,Avalanche
2023-06-01,Coinbase,-2370.89,Avalanche
2023-06-01,Binance,-8154292.30294442,BSC
2023-06-01,KuCoin,113413.39604529,BSC
2023-06-01,Gate.io,-12666849.0959651,BSC
2023-06-01,Gate.io,-57736632.76,Ethereum
2023-06-01,Coinbase,846958.9392,Ethereum
2023-06-01,Kraken,-20369641.95,Ethereum
2023-06-01,Bitfinex,-5915949.049,Ethereum
2023-06-01,Binance,4416651.221,Ethereum
2023-06-01,Gemini,-3407004.805,Ethereum
2023-06-01,KuCoin,2671344.363,Ethereum
2023-06-01,Bybit,11370740.5,Ethereum
2023-06-01,Bitstamp,-921159.6703,Ethereum
2023-06-01,OKX,-9161257.631,Ethereum
2023-06-01,Binance,16441647.44,Polygon
2023-06-01,Bitfinex,458738.506,Polygon
2023-05-31,Bybit,7918102.19,Arbitrum
2023-05-31,KuCoin,510347.5637,Arbitrum
2023-05-31,Binance,-10666569.08,Arbitrum
2023-05-31,Gate.io,-9297470.482,Arbitrum
2023-05-31,Binance,-9323832.528,Avalanche
2023-05-31,Coinbase,-82397.92,Avalanche
2023-05-31,Bitfinex,586195.4459,Avalanche
2023-05-31,Binance,40969741.2987036,BSC
2023-05-31,KuCoin,1635752.25533342,BSC
2023-05-31,Gate.io,-46181552.5646861,BSC
2023-05-31,Bitfinex,-5048089.679,Ethereum
2023-05-31,Bybit,-2760855.975,Ethereum
2023-05-31,Kraken,-7485963.811,Ethereum
2023-05-31,KuCoin,15853514.37,Ethereum
2023-05-31,Gemini,1806415.921,Ethereum
2023-05-31,Gate.io,-94806815.56,Ethereum
2023-05-31,Coinbase,-3451290.853,Ethereum
2023-05-31,Bitstamp,1107236.065,Ethereum
2023-05-31,Binance,-119955139.1,Ethereum
2023-05-31,OKX,-7474245.416,Ethereum
2023-05-31,Binance,9626707.905,Polygon
2023-05-31,Bitfinex,689768.7835,Polygon
2023-05-30,Bybit,7879461.134,Arbitrum
2023-05-30,Binance,6875251.145,Arbitrum
2023-05-30,KuCoin,208536.5696,Arbitrum
2023-05-30,Gate.io,1669853.292,Arbitrum
2023-05-30,Bitfinex,1248363.532,Avalanche
2023-05-30,Coinbase,95263.24,Avalanche
2023-05-30,Binance,3911080.747,Avalanche
2023-05-30,Gate.io,374474.987595126,BSC
2023-05-30,KuCoin,333629.014665461,BSC
2023-05-30,Binance,36080906.9191997,BSC
2023-05-30,OKX,-11247832.55,Ethereum
2023-05-30,Bitfinex,-36600103.86,Ethereum
2023-05-30,Gate.io,-12812172.3,Ethereum
2023-05-30,Bitstamp,1698441.987,Ethereum
2023-05-30,Binance,38661543.1,Ethereum
2023-05-30,Kraken,26100488.27,Ethereum
2023-05-30,Bybit,-15583719.9,Ethereum
2023-05-30,KuCoin,3039644.447,Ethereum
2023-05-30,Gemini,1793847.03,Ethereum
2023-05-30,Coinbase,-403475.2196,Ethereum
2023-05-30,Bitfinex,-2689836.617,Polygon
2023-05-30,Binance,5098596.306,Polygon
2023-05-29,Bybit,5017289.715,Arbitrum
2023-05-29,Binance,-5872656.512,Arbitrum
2023-05-29,Gate.io,-3302291.005,Arbitrum
2023-05-29,KuCoin,-195352.5596,Arbitrum
2023-05-29,Bitfinex,5401816.823,Avalanche
2023-05-29,Binance,-3783349.782,Avalanche
2023-05-29,Coinbase,-443876.31,Avalanche
2023-05-29,Binance,92357369.5475587,BSC
2023-05-29,KuCoin,230781.58853322,BSC
2023-05-29,Gate.io,4307960.54194519,BSC
2023-05-29,Binance,106496584.4,Ethereum
2023-05-29,Bybit,19069394.21,Ethereum
2023-05-29,Bitstamp,-2446185.299,Ethereum
2023-05-29,Gate.io,15073090.87,Ethereum
2023-05-29,OKX,-1581403.206,Ethereum
2023-05-29,Bitfinex,-7062507.648,Ethereum
2023-05-29,KuCoin,5942357.266,Ethereum
2023-05-29,Coinbase,69763181.62,Ethereum
2023-05-29,Gemini,-1104115.452,Ethereum
2023-05-29,Kraken,-13745401.23,Ethereum
2023-05-29,Binance,-6466536.764,Polygon
2023-05-29,Bitfinex,1509711.424,Polygon
2023-05-28,KuCoin,610954.0323,Arbitrum
2023-05-28,Gate.io,3992890.048,Arbitrum
2023-05-28,Bybit,3649614.495,Arbitrum
2023-05-28,Binance,15943599.5,Arbitrum
2023-05-28,Bitfinex,13528911.16,Avalanche
2023-05-28,Coinbase,-20607.83,Avalanche
2023-05-28,Binance,6071659.505,Avalanche
2023-05-28,Binance,16798088.401663,BSC
2023-05-28,KuCoin,-206197.813717225,BSC
2023-05-28,Gate.io,875374.151210222,BSC
2023-05-28,Gate.io,16647388.77,Ethereum
2023-05-28,Gemini,144921.9764,Ethereum
2023-05-28,Bitfinex,-8073375.053,Ethereum
2023-05-28,Coinbase,22436162.7,Ethereum
2023-05-28,OKX,-16206024.55,Ethereum
2023-05-28,Binance,-72530622.63,Ethereum
2023-05-28,KuCoin,-1240302.64,Ethereum
2023-05-28,Bybit,1248876.932,Ethereum
2023-05-28,Bitstamp,-906248.0216,Ethereum
2023-05-28,Kraken,-29433515.72,Ethereum
2023-05-28,Bitfinex,42001.47362,Polygon
2023-05-28,Binance,2376176.009,Polygon
2023-05-27,KuCoin,-94097.83423,Arbitrum
2023-05-27,Bybit,1432949.13,Arbitrum
2023-05-27,Binance,-1542050.232,Arbitrum
2023-05-27,Gate.io,4667291.228,Arbitrum
2023-05-27,Coinbase,-184522.01,Avalanche
2023-05-27,Bitfinex,11801030.14,Avalanche
