Date,DEX,Values,Blockchain
2023-05-10,Maverick,32,Ethereum
2023-05-10,PancakeSwap,403,Ethereum
2023-05-10,Shibaswap,445,Ethereum
2023-05-10,Sushiswap,1633,Ethereum
2023-05-10,Synthetix,4,Ethereum
2023-05-10,Uniswap,82203,Ethereum
2023-05-10,Beethoven X,621,Optimism
2023-05-10,Curve,393,Optimism
2023-05-10,Fraxswap,13,Optimism
2023-05-10,KyberSwap,97,Optimism
2023-05-10,Sushiswap,614,Optimism
2023-05-10,Synthetix,17,Optimism
2023-05-10,Uniswap,5538,Optimism
2023-05-10,Velodrome,2336,Optimism
2023-05-10,WOOFi,556,Optimism
2023-05-10,Balancer,1462,Polygon
2023-05-10,Curve,382,Polygon
2023-05-10,DODO,1193,Polygon
2023-05-10,Fraxswap,1406,Polygon
2023-05-10,KyberSwap,1704,Polygon
2023-05-10,QuickSwap,11703,Polygon
2023-05-10,Sushiswap,5385,Polygon
2023-05-10,Uniswap,14689,Polygon
2023-05-10,WOOFi,1620,Polygon
2023-05-09,Curve,158,Avalanche
2023-05-09,Fraxswap,43,Avalanche
2023-05-09,GMX,178,Avalanche
2023-05-09,Hashflow,227,Avalanche
2023-05-09,KyberSwap,275,Avalanche
2023-05-09,Pangolin,1445,Avalanche
2023-05-09,Platypus,417,Avalanche
2023-05-09,Sushiswap,568,Avalanche
2023-05-09,Trader Joe,10472,Avalanche
2023-05-09,WOOFi,2540,Avalanche
2023-05-09,Balancer,192,Ethereum
2023-05-09,Curve,380,Ethereum
2023-05-09,DODO,12,Ethereum
2023-05-09,Fraxswap,37,Ethereum
2023-05-09,Hashflow,78,Ethereum
2023-05-09,KyberSwap,22,Ethereum
2023-05-09,Maverick,191,Ethereum
2023-05-09,PancakeSwap,411,Ethereum
2023-05-09,Shibaswap,450,Ethereum
2023-05-09,Sushiswap,1468,Ethereum
2023-05-09,Synthetix,2,Ethereum
2023-05-09,Uniswap,87260,Ethereum
2023-05-09,Beethoven X,518,Optimism
2023-05-09,Curve,333,Optimism
2023-05-09,Fraxswap,3,Optimism
2023-05-09,KyberSwap,194,Optimism
2023-05-09,Sushiswap,423,Optimism
2023-05-09,Synthetix,10,Optimism
2023-05-09,Uniswap,5014,Optimism
2023-05-09,Velodrome,2071,Optimism
2023-05-09,WOOFi,424,Optimism
2023-05-09,Balancer,1781,Polygon
2023-05-09,Curve,251,Polygon
2023-05-09,DODO,1228,Polygon
2023-05-09,Fraxswap,2231,Polygon
2023-05-09,KyberSwap,1725,Polygon
2023-05-09,QuickSwap,11486,Polygon
2023-05-09,Sushiswap,5222,Polygon
2023-05-09,Uniswap,15633,Polygon
2023-05-09,WOOFi,1289,Polygon
2023-05-08,Curve,229,Avalanche
2023-05-08,Fraxswap,42,Avalanche
2023-05-08,GMX,294,Avalanche
2023-05-08,Hashflow,211,Avalanche
2023-05-08,KyberSwap,388,Avalanche
2023-05-08,Pangolin,1730,Avalanche
2023-05-08,Platypus,525,Avalanche
2023-05-08,Sushiswap,590,Avalanche
2023-05-08,Trader Joe,10893,Avalanche
2023-05-08,WOOFi,2326,Avalanche
2023-05-08,Balancer,274,Ethereum
2023-05-08,Curve,439,Ethereum
2023-05-08,DODO,26,Ethereum
2023-05-08,Fraxswap,52,Ethereum
2023-05-08,Hashflow,135,Ethereum
2023-05-08,KyberSwap,27,Ethereum
2023-05-08,Maverick,269,Ethereum
2023-05-08,PancakeSwap,540,Ethereum
2023-05-08,Shibaswap,506,Ethereum
2023-05-08,Sushiswap,1767,Ethereum
2023-05-08,Uniswap,94767,Ethereum
2023-05-08,Beethoven X,566,Optimism
2023-05-08,Curve,332,Optimism
2023-05-08,Fraxswap,6,Optimism
2023-05-08,KyberSwap,237,Optimism
2023-05-08,Sushiswap,462,Optimism
2023-05-08,Synthetix,12,Optimism
2023-05-08,Uniswap,4566,Optimism
2023-05-08,Velodrome,2045,Optimism
2023-05-08,WOOFi,432,Optimism
2023-05-08,Balancer,1707,Polygon
2023-05-08,Curve,295,Polygon
2023-05-08,DODO,1119,Polygon
2023-05-08,Fraxswap,78,Polygon
2023-05-08,KyberSwap,1678,Polygon
2023-05-08,QuickSwap,12762,Polygon
2023-05-08,Sushiswap,5365,Polygon
2023-05-08,Uniswap,16957,Polygon
2023-05-08,WOOFi,1469,Polygon
2023-05-07,Curve,167,Avalanche
2023-05-07,Fraxswap,21,Avalanche
2023-05-07,GMX,153,Avalanche
2023-05-07,Hashflow,182,Avalanche
2023-05-07,KyberSwap,269,Avalanche
2023-05-07,Pangolin,1314,Avalanche
2023-05-07,Platypus,370,Avalanche
2023-05-07,Sushiswap,439,Avalanche
2023-05-07,Trader Joe,9694,Avalanche
2023-05-07,WOOFi,2001,Avalanche
2023-05-07,Balancer,165,Ethereum
2023-05-07,Curve,282,Ethereum
2023-05-07,DODO,11,Ethereum
2023-05-07,Fraxswap,29,Ethereum
2023-05-07,Hashflow,106,Ethereum
2023-05-07,KyberSwap,19,Ethereum
2023-05-07,Maverick,174,Ethereum
2023-05-07,PancakeSwap,392,Ethereum
2023-05-07,Shibaswap,527,Ethereum
2023-05-07,Sushiswap,1437,Ethereum
2023-05-07,Uniswap,97468,Ethereum
2023-05-07,Beethoven X,464,Optimism
2023-05-07,Curve,262,Optimism
2023-05-07,Fraxswap,6,Optimism
2023-05-07,KyberSwap,185,Optimism
2023-05-07,Sushiswap,355,Optimism
2023-05-07,Synthetix,12,Optimism
2023-05-07,Uniswap,4506,Optimism
2023-05-07,Velodrome,2329,Optimism
2023-05-07,WOOFi,351,Optimism
2023-05-07,Balancer,1206,Polygon
2023-05-07,Curve,299,Polygon
2023-05-07,DODO,972,Polygon
2023-05-07,Fraxswap,134,Polygon
2023-05-07,KyberSwap,1209,Polygon
2023-05-07,QuickSwap,10790,Polygon
2023-05-07,Sushiswap,4592,Polygon
2023-05-07,Uniswap,13634,Polygon
2023-05-07,WOOFi,1909,Polygon
2023-05-06,Curve,229,Avalanche
2023-05-06,Fraxswap,30,Avalanche
2023-05-06,GMX,222,Avalanche
2023-05-06,Hashflow,199,Avalanche
2023-05-06,KyberSwap,327,Avalanche
2023-05-06,Pangolin,1351,Avalanche
2023-05-06,Platypus,361,Avalanche
2023-05-06,Sushiswap,513,Avalanche
2023-05-06,Trader Joe,8333,Avalanche
2023-05-06,WOOFi,1577,Avalanche
2023-05-06,Balancer,310,Ethereum
2023-05-06,Curve,322,Ethereum
2023-05-06,DODO,23,Ethereum
2023-05-06,Fraxswap,19,Ethereum
2023-05-06,Hashflow,150,Ethereum
2023-05-06,KyberSwap,24,Ethereum
2023-05-06,Maverick,177,Ethereum
2023-05-06,PancakeSwap,490,Ethereum
2023-05-06,Shibaswap,645,Ethereum
2023-05-06,Sushiswap,1659,Ethereum
2023-05-06,Uniswap,102796,Ethereum
2023-05-06,Beethoven X,500,Optimism
2023-05-06,Curve,330,Optimism
2023-05-06,Fraxswap,6,Optimism
2023-05-06,KyberSwap,225,Optimism
2023-05-06,Sushiswap,365,Optimism
2023-05-06,Synthetix,26,Optimism
2023-05-06,Uniswap,5054,Optimism
2023-05-06,Velodrome,1833,Optimism
2023-05-06,WOOFi,336,Optimism
2023-05-06,Balancer,1395,Polygon
2023-05-06,Curve,282,Polygon
2023-05-06,DODO,945,Polygon
2023-05-06,Fraxswap,29,Polygon
2023-05-06,KyberSwap,1430,Polygon
2023-05-06,QuickSwap,10804,Polygon
2023-05-06,Sushiswap,4798,Polygon
2023-05-06,Uniswap,13468,Polygon
2023-05-06,WOOFi,2044,Polygon
2023-05-05,Curve,189,Avalanche
2023-05-05,Fraxswap,34,Avalanche
2023-05-05,GMX,262,Avalanche
2023-05-05,Hashflow,194,Avalanche
2023-05-05,KyberSwap,392,Avalanche
2023-05-05,Pangolin,1290,Avalanche
2023-05-05,Platypus,426,Avalanche
2023-05-05,Sushiswap,515,Avalanche
2023-05-05,Trader Joe,9591,Avalanche
2023-05-05,WOOFi,1640,Avalanche
2023-05-05,Balancer,253,Ethereum
2023-05-05,Curve,313,Ethereum
2023-05-05,DODO,11,Ethereum
2023-05-05,Fraxswap,36,Ethereum
2023-05-05,Hashflow,142,Ethereum
2023-05-05,KyberSwap,19,Ethereum
2023-05-05,Maverick,189,Ethereum
2023-05-05,PancakeSwap,1081,Ethereum
2023-05-05,Shibaswap,616,Ethereum
2023-05-05,Sushiswap,1630,Ethereum
2023-05-05,Uniswap,104193,Ethereum
2023-05-05,Beethoven X,516,Optimism
2023-05-05,Curve,355,Optimism
2023-05-05,Fraxswap,7,Optimism
2023-05-05,KyberSwap,260,Optimism
2023-05-05,Sushiswap,411,Optimism
2023-05-05,Synthetix,52,Optimism
2023-05-05,Uniswap,6339,Optimism
2023-05-05,Velodrome,1898,Optimism
2023-05-05,WOOFi,356,Optimism
2023-05-05,Balancer,1406,Polygon
2023-05-05,Curve,277,Polygon
