Date,Exchange,Values,Blockchain
2023-09-16,Huobi,7108066.12148266,Ethereum
2023-09-16,Kraken,33228182.4821367,Ethereum
2023-09-16,KuCoin,11359815.1244978,Ethereum
2023-09-16,MEXC,11333510.6766433,Ethereum
2023-09-16,OKX,31602644.0755091,Ethereum
2023-09-16,Binance,5648032.54943821,Optimism
2023-09-16,Bybit,315503.937585972,Optimism
2023-09-16,Coinbase,897520.377466169,Optimism
2023-09-16,Gate.io,174882.662494775,Optimism
2023-09-16,KuCoin,78375.576068762,Optimism
2023-09-16,Binance,8755011.98866194,Polygon
2023-09-16,Bitfinex,218091.389034991,Polygon
2023-09-16,Bybit,475120.759518439,Polygon
2023-09-16,Coinbase,89.98353,Polygon
2023-09-16,Gate.io,959669.924722185,Polygon
2023-09-16,Huobi,14004.138828195,Polygon
2023-09-16,MEXC,1184429.78982733,Polygon
2023-09-15,Binance,383076417.9676,Arbitrum
2023-09-15,Bitfinex,8308.610249644,Arbitrum
2023-09-15,Bybit,9385341.68956197,Arbitrum
2023-09-15,Gate.io,7545874.06527596,Arbitrum
2023-09-15,KuCoin,435713.804352607,Arbitrum
2023-09-15,Binance,20825560.7697501,Avalanche
2023-09-15,Bitfinex,10800546.884932,Avalanche
2023-09-15,Bybit,4001086.52231744,Avalanche
2023-09-15,Coinbase,198021.02,Avalanche
2023-09-15,Gate.io,4719846.27794989,Avalanche
2023-09-15,Huobi,2486254.59604615,Avalanche
2023-09-15,KuCoin,19076.600149765,Avalanche
2023-09-15,Binance,1591059830.61179,Ethereum
2023-09-15,Bitfinex,317126862.452323,Ethereum
2023-09-15,Bitstamp,32514960.430293,Ethereum
2023-09-15,Bybit,40858554.9649457,Ethereum
2023-09-15,Coinbase,323811568.181842,Ethereum
2023-09-15,Gate.io,38886524.0183273,Ethereum
2023-09-15,Gemini,6225778.13986044,Ethereum
2023-09-15,Huobi,17864376.2607285,Ethereum
2023-09-15,Kraken,178273766.072707,Ethereum
2023-09-15,KuCoin,16813423.280751,Ethereum
2023-09-15,MEXC,17330182.8759311,Ethereum
