Date,Marketplace,Values,Blockchain
2023-05-14,Blur,10038795.6712921,Ethereum
2023-05-14,Larva Labs,113313.61,Ethereum
2023-05-14,LooksRare,3095214.65670797,Ethereum
2023-05-14,NFTX,44167.808250818,Ethereum
2023-05-14,OpenSea,3708967.87508288,Ethereum
2023-05-14,Rarible,1469.919664975,Ethereum
2023-05-14,Sudoswap,3829.09,Ethereum
2023-05-14,X2Y2,1481431.22119006,Ethereum
2023-05-14,Quix,1721.97,Optimism
2023-05-14,OpenSea,16001.311025323,Polygon
2023-05-14,Coral Cube,6424.021139716,Solana
2023-05-14,Exchange Art,3199.730962196,Solana
2023-05-14,Hadeswap,104570.998835935,Solana
2023-05-14,Hyperspace,210.89362017,Solana
2023-05-14,Magic Eden,517662.546756179,Solana
2023-05-14,Solanart,9.6317325,Solana
2023-05-14,Tensor,520567.06218402,Solana
2023-05-13,Blur,8566003.37454412,Ethereum
2023-05-13,LooksRare,2482489.38847815,Ethereum
2023-05-13,NFTX,9346.135479345,Ethereum
2023-05-13,OpenSea,3111069.26673896,Ethereum
2023-05-13,Sudoswap,932.85,Ethereum
2023-05-13,X2Y2,2722873.50620845,Ethereum
2023-05-13,Quix,62711.79,Optimism
2023-05-13,OpenSea,18965.344733906,Polygon
2023-05-13,Coral Cube,9071.816157783,Solana
2023-05-13,Exchange Art,6069.230535801,Solana
2023-05-13,Hadeswap,100289.928060635,Solana
2023-05-13,Hyperspace,591.496039512,Solana
2023-05-13,Magic Eden,540691.971977076,Solana
2023-05-13,Solanart,253.369416667,Solana
2023-05-13,Tensor,418736.928063003,Solana
2023-05-12,Blur,9928604.28940184,Ethereum
2023-05-12,Larva Labs,150979.08,Ethereum
2023-05-12,LooksRare,1875758.87545722,Ethereum
2023-05-12,NFTX,10096.383068473,Ethereum
2023-05-12,OpenSea,3944288.43647007,Ethereum
2023-05-12,Sudoswap,3224.34,Ethereum
2023-05-12,X2Y2,2732260.20291659,Ethereum
2023-05-12,Quix,2687.8,Optimism
2023-05-12,OpenSea,27951.859878319,Polygon
2023-05-12,Coral Cube,10103.611409322,Solana
2023-05-12,Exchange Art,10071.762884798,Solana
2023-05-12,Hadeswap,113896.310749887,Solana
2023-05-12,Hyperspace,100.832052455,Solana
2023-05-12,Magic Eden,704971.087689656,Solana
2023-05-12,Solanart,497.433730822,Solana
2023-05-12,Tensor,520194.551173325,Solana
2023-05-11,Blur,16206006.8254794,Ethereum
2023-05-11,LooksRare,3797081.79380846,Ethereum
2023-05-11,NFTX,165014.514405802,Ethereum
2023-05-11,OpenSea,5384714.813012,Ethereum
2023-05-11,Sudoswap,13219.51,Ethereum
2023-05-11,X2Y2,3299739.15224844,Ethereum
2023-05-11,Quix,2998.89,Optimism
2023-05-11,OpenSea,33549.972733611,Polygon
2023-05-11,Coral Cube,12329.701168343,Solana
2023-05-11,Exchange Art,9129.994076712,Solana
2023-05-11,Hadeswap,134604.381496209,Solana
2023-05-11,Hyperspace,487.499624034,Solana
2023-05-11,Magic Eden,824464.591314716,Solana
2023-05-11,Solanart,1244.378755794,Solana
2023-05-11,Tensor,734468.89960271,Solana
2023-05-11,Yawww,85.74475,Solana
2023-05-10,Blur,29365454.4656533,Ethereum
2023-05-10,Larva Labs,441013.96,Ethereum
2023-05-10,LooksRare,4467348.7450876,Ethereum
2023-05-10,NFTX,4660213.80814688,Ethereum
2023-05-10,OpenSea,10835091.9084142,Ethereum
2023-05-10,Rarible,881.393473939,Ethereum
2023-05-10,Sudoswap,146187.23,Ethereum
2023-05-10,X2Y2,2466879.8003941,Ethereum
2023-05-10,Quix,3071.53,Optimism
2023-05-10,OpenSea,61782.627665261,Polygon
2023-05-10,Coral Cube,5283.101859606,Solana
2023-05-10,Exchange Art,14163.5665775,Solana
2023-05-10,Hadeswap,140647.149888458,Solana
2023-05-10,Hyperspace,2268.903219918,Solana
2023-05-10,Magic Eden,721454.71888838,Solana
2023-05-10,Solanart,521.12392508,Solana
2023-05-10,Tensor,535212.127928634,Solana
2023-05-09,Blur,18196497.3918828,Ethereum
2023-05-09,Larva Labs,687909.25,Ethereum
2023-05-09,LooksRare,4293640.87257381,Ethereum
2023-05-09,NFTX,21819.871448975,Ethereum
2023-05-09,OpenSea,5763645.32117987,Ethereum
2023-05-09,Rarible,5918.80983322,Ethereum
2023-05-09,Sudoswap,67759.17,Ethereum
2023-05-09,X2Y2,2860878.17852661,Ethereum
2023-05-09,Quix,5802.44,Optimism
2023-05-09,OpenSea,56859.919398296,Polygon
2023-05-09,Coral Cube,11494.181066889,Solana
2023-05-09,Exchange Art,10860.466176505,Solana
2023-05-09,Hadeswap,137546.921873763,Solana
2023-05-09,Hyperspace,1563.068388243,Solana
2023-05-09,Magic Eden,689287.499427816,Solana
2023-05-09,Solanart,743.253862479,Solana
2023-05-09,Tensor,591471.662985114,Solana
2023-05-08,Blur,19929172.7481237,Ethereum
2023-05-08,Larva Labs,243381.47,Ethereum
2023-05-08,LooksRare,4418084.74604995,Ethereum
2023-05-08,NFTX,98709.923056819,Ethereum
2023-05-08,OpenSea,5841498.05160164,Ethereum
2023-05-08,Rarible,1079.066628,Ethereum
2023-05-08,Sudoswap,29382.27,Ethereum
2023-05-08,X2Y2,3456794.24967444,Ethereum
2023-05-08,Quix,64897.46,Optimism
2023-05-08,OpenSea,32397.732438214,Polygon
2023-05-08,Coral Cube,7258.681726134,Solana
2023-05-08,Exchange Art,4213.961411481,Solana
2023-05-08,Hadeswap,125205.367430549,Solana
2023-05-08,Hyperspace,764.088507925,Solana
2023-05-08,Magic Eden,739405.420541805,Solana
2023-05-08,Solanart,103.231965183,Solana
2023-05-08,Tensor,604365.359729877,Solana
2023-05-07,Blur,14320889.77,Ethereum
2023-05-07,Larva Labs,377551.01,Ethereum
2023-05-07,LooksRare,5128067.81,Ethereum
2023-05-07,NFTX,41401.8693,Ethereum
2023-05-07,OpenSea,6056659.436,Ethereum
2023-05-07,Rarible,1433.188717,Ethereum
2023-05-07,Sudoswap,19216.13,Ethereum
2023-05-07,X2Y2,3072918.295,Ethereum
2023-05-07,Quix,2992.07,Optimism
2023-05-07,OpenSea,44422.0445,Polygon
2023-05-07,Coral Cube,16136.58303,Solana
2023-05-07,Exchange Art,10674.18995,Solana
2023-05-07,Hadeswap,120595.1374,Solana
2023-05-07,Hyperspace,3967.936185,Solana
2023-05-07,Magic Eden,680366.1306,Solana
2023-05-07,Solanart,107.7892292,Solana
2023-05-07,Tensor,585045.0556,Solana
2023-05-06,Blur,9941195.33,Ethereum
2023-05-06,LooksRare,5396298.136,Ethereum
2023-05-06,NFTX,75350.38017,Ethereum
2023-05-06,OpenSea,5252061.99,Ethereum
2023-05-06,Rarible,4015.3806,Ethereum
2023-05-06,Sudoswap,22804.99,Ethereum
2023-05-06,X2Y2,3488173.93,Ethereum
2023-05-06,Quix,2191.26,Optimism
2023-05-06,OpenSea,68436.29104,Polygon
2023-05-06,Coral Cube,15463.3805,Solana
2023-05-06,Exchange Art,3656.056927,Solana
2023-05-06,Hadeswap,91646.93822,Solana
2023-05-06,Hyperspace,1764.881538,Solana
2023-05-06,Magic Eden,784200.6389,Solana
2023-05-06,Solanart,556.6718629,Solana
2023-05-06,Tensor,652870.2862,Solana
2023-05-05,Blur,16552125.2,Ethereum
2023-05-05,Larva Labs,457539.22,Ethereum
2023-05-05,LooksRare,2447700.893,Ethereum
2023-05-05,NFTX,422625.9274,Ethereum
2023-05-05,OpenSea,7237629.759,Ethereum
2023-05-05,Rarible,4833.241375,Ethereum
2023-05-05,Sudoswap,26479.77,Ethereum
2023-05-05,X2Y2,3072470.799,Ethereum
