Date,Blockchain,DEX,Values
2023-04-05,Ethereum,Curve,1599
2023-04-05,Ethereum,Sushi,5638
2023-04-05,Ethereum,Uniswap,104601
2023-04-04,Ethereum,Balancer,1047
2023-04-04,Ethereum,Curve,1874
2023-04-04,Ethereum,Sushi,5569
2023-04-04,Ethereum,Synthetix,6
2023-04-04,Ethereum,Uniswap,114807
2023-04-03,Ethereum,Balancer,1256
2023-04-03,Ethereum,Curve,1623
2023-04-03,Ethereum,Sushi,5334
2023-04-03,Ethereum,Synthetix,4
2023-04-03,Ethereum,Uniswap,122298
2023-04-02,Ethereum,Balancer,968
2023-04-02,Ethereum,Curve,1363
2023-04-02,Ethereum,Sushi,4485
2023-04-02,Ethereum,Synthetix,3
2023-04-02,Ethereum,Uniswap,103278
2023-04-01,Ethereum,Balancer,1186
2023-04-01,Ethereum,Curve,1319
2023-04-01,Ethereum,Sushi,4837
2023-04-01,Ethereum,Synthetix,2
2023-04-01,Ethereum,Uniswap,97750
2023-03-31,Ethereum,Balancer,1421
2023-03-31,Ethereum,Curve,1453
2023-03-31,Ethereum,Sushi,5406
2023-03-31,Ethereum,Uniswap,109366
2023-03-30,Ethereum,Balancer,1159
2023-03-30,Ethereum,Curve,1615
2023-03-30,Ethereum,Sushi,4817
2023-03-30,Ethereum,Synthetix,3
2023-03-30,Ethereum,Uniswap,119976
2023-03-29,Ethereum,Balancer,1015
2023-03-29,Ethereum,Curve,1356
2023-03-29,Ethereum,Sushi,5359
2023-03-29,Ethereum,Synthetix,8
2023-03-29,Ethereum,Uniswap,116943
2023-03-28,Ethereum,Balancer,1047
2023-03-28,Ethereum,Curve,1557
2023-03-28,Ethereum,Sushi,5606
2023-03-28,Ethereum,Synthetix,3
2023-03-28,Ethereum,Uniswap,113374
2023-03-27,Ethereum,Balancer,1021
2023-03-27,Ethereum,Curve,1763
2023-03-27,Ethereum,Sushi,6183
2023-03-27,Ethereum,Synthetix,9
2023-03-27,Ethereum,Uniswap,107279
2023-03-26,Ethereum,Balancer,782
2023-03-26,Ethereum,Curve,1503
2023-03-26,Ethereum,Sushi,5263
2023-03-26,Ethereum,Synthetix,5
2023-03-26,Ethereum,Uniswap,108778
2023-03-25,Ethereum,Balancer,907
2023-03-25,Ethereum,Curve,1604
2023-03-25,Ethereum,Sushi,5227
2023-03-25,Ethereum,Uniswap,91400
2023-03-24,Ethereum,Balancer,999
2023-03-24,Ethereum,Curve,2074
2023-03-24,Ethereum,Sushi,5433
2023-03-24,Ethereum,Synthetix,15
2023-03-24,Ethereum,Uniswap,109121
2023-03-23,Ethereum,Balancer,1155
2023-03-23,Ethereum,Curve,2501
2023-03-23,Ethereum,Sushi,5619
2023-03-23,Ethereum,Synthetix,15
2023-03-23,Ethereum,Uniswap,108672
2023-03-22,Ethereum,Balancer,1302
2023-03-22,Ethereum,Curve,3401
2023-03-22,Ethereum,Sushi,6875
2023-03-22,Ethereum,Synthetix,13
2023-03-22,Ethereum,Uniswap,131605
2023-03-21,Ethereum,Balancer,1422
2023-03-21,Ethereum,Curve,3062
2023-03-21,Ethereum,Sushi,7465
2023-03-21,Ethereum,Synthetix,9
2023-03-21,Ethereum,Uniswap,127826
2023-03-20,Ethereum,Balancer,1449
2023-03-20,Ethereum,Curve,3203
2023-03-20,Ethereum,Sushi,7298
2023-03-20,Ethereum,Synthetix,12
2023-03-20,Ethereum,Uniswap,133269
2023-03-19,Ethereum,Balancer,1284
2023-03-19,Ethereum,Curve,3276
2023-03-19,Ethereum,Sushi,7225
2023-03-19,Ethereum,Synthetix,4
2023-03-19,Ethereum,Uniswap,117799
2023-03-18,Ethereum,Balancer,1821
2023-03-18,Ethereum,Curve,3842
2023-03-18,Ethereum,Sushi,8646
2023-03-18,Ethereum,Synthetix,20
2023-03-18,Ethereum,Uniswap,120137
2023-03-17,Ethereum,Balancer,1532
2023-03-17,Ethereum,Curve,4196
2023-03-17,Ethereum,Sushi,6483
2023-03-17,Ethereum,Synthetix,29
2023-03-17,Ethereum,Uniswap,126754
2023-03-16,Ethereum,Balancer,1416
2023-03-16,Ethereum,Curve,3327
2023-03-16,Ethereum,Sushi,5946
2023-03-16,Ethereum,Synthetix,35
2023-03-16,Ethereum,Uniswap,136815
2023-03-15,Ethereum,Balancer,2059
2023-03-15,Ethereum,Curve,4641
2023-03-15,Ethereum,Sushi,7259
2023-03-15,Ethereum,Synthetix,48
2023-03-15,Ethereum,Uniswap,127892
2023-03-14,Ethereum,Balancer,2162
2023-03-14,Ethereum,Curve,5327
2023-03-14,Ethereum,Sushi,7427
2023-03-14,Ethereum,Synthetix,117
2023-03-14,Ethereum,Uniswap,127257
2023-03-13,Ethereum,Balancer,2714
2023-03-13,Ethereum,Curve,8408
2023-03-13,Ethereum,Sushi,7928
2023-03-13,Ethereum,Synthetix,102
2023-03-13,Ethereum,Uniswap,128376
2023-03-12,Ethereum,Balancer,2086
2023-03-12,Ethereum,Curve,12405
2023-03-12,Ethereum,Sushi,6393
2023-03-12,Ethereum,Synthetix,118
2023-03-12,Ethereum,Uniswap,115009
2023-03-11,Ethereum,Balancer,3146
2023-03-11,Ethereum,Curve,28595
2023-03-11,Ethereum,Sushi,8641
2023-03-11,Ethereum,Synthetix,62
2023-03-11,Ethereum,Uniswap,138024
2023-03-10,Ethereum,Balancer,2418
2023-03-10,Ethereum,Curve,5408
2023-03-10,Ethereum,Sushi,8300
2023-03-10,Ethereum,Synthetix,7
2023-03-10,Ethereum,Uniswap,125065
2023-03-09,Ethereum,Balancer,1594
2023-03-09,Ethereum,Curve,1854
2023-03-09,Ethereum,Sushi,6774
2023-03-09,Ethereum,Synthetix,9
2023-03-09,Ethereum,Uniswap,116125
2023-03-08,Ethereum,Balancer,1599
2023-03-08,Ethereum,Curve,1680
2023-03-08,Ethereum,Sushi,6034
2023-03-08,Ethereum,Synthetix,2
2023-03-08,Ethereum,Uniswap,121601
2023-03-07,Ethereum,Balancer,1569
2023-03-07,Ethereum,Curve,1888
2023-03-07,Ethereum,Sushi,6460
2023-03-07,Ethereum,Synthetix,3
2023-03-07,Ethereum,Uniswap,137660
2023-03-06,Ethereum,Balancer,1189
2023-03-06,Ethereum,Curve,1334
2023-03-06,Ethereum,Sushi,4994
2023-03-06,Ethereum,Synthetix,2
2023-03-06,Ethereum,Uniswap,124050
2023-03-05,Ethereum,Balancer,1115
2023-03-05,Ethereum,Curve,1462
2023-03-05,Ethereum,Sushi,5465
2023-03-05,Ethereum,Synthetix,1
2023-03-05,Ethereum,Uniswap,121316
2023-03-04,Ethereum,Balancer,1124
2023-03-04,Ethereum,Curve,1344
2023-03-04,Ethereum,Sushi,5716
2023-03-04,Ethereum,Uniswap,123705
2023-03-03,Ethereum,Balancer,1688
2023-03-03,Ethereum,Curve,2038
2023-03-03,Ethereum,Sushi,7627
2023-03-03,Ethereum,Synthetix,5
2023-03-03,Ethereum,Uniswap,140452
2023-03-02,Ethereum,Balancer,1473
2023-03-02,Ethereum,Curve,2209
2023-03-02,Ethereum,Sushi,6770
2023-03-02,Ethereum,Synthetix,7
2023-03-02,Ethereum,Uniswap,129191
2023-03-01,Ethereum,Balancer,2032
2023-03-01,Ethereum,Curve,2214
